Title,Author,Rating
"Nightfall (Devil's Night, #4)",Penelope Douglas,"4.29 avg rating — 118,147 ratings"
Karna's Wheel,Michael Tobert,4.27 avg rating — 423 ratings
"Savvy (Savvy, #1)",Ingrid Law,"3.98 avg rating — 49,332 ratings"
The Confessions of Nat Turner,William Styron,"3.96 avg rating — 15,896 ratings"
"Bad Things (Tristan & Danika, #1)",R.K. Lilley,"4.27 avg rating — 32,805 ratings"
Titus Andronicus,William Shakespeare,"3.68 avg rating — 33,052 ratings"
Mason & Dixon,Thomas Pynchon,"4.12 avg rating — 11,957 ratings"
The Girl Before,J.P. Delaney,"3.70 avg rating — 163,511 ratings"
"Number 13 (Lightmasters, #1)",M.G. Wells,4.18 avg rating — 268 ratings
"The Magician King (The Magicians, #2)",Lev Grossman,"3.93 avg rating — 103,137 ratings"
The Power of Your Subconscious Mind,Joseph Murphy,"4.07 avg rating — 83,752 ratings"
Caged,Shanna Ehrlich,3.71 avg rating — 503 ratings
Nicu II and Victoria's Incestuous Romance,Kenneth Jarrett Singleton,4.40 avg rating — 465 ratings
The Undoing Project: A Friendship That Changed Our Minds,Michael   Lewis,"3.99 avg rating — 62,410 ratings"
Sunstruck,Melissa Bellis,4.63 avg rating — 102 ratings
"The Clan of the Cave Bear, the Valley of Horses, the Mammoth Hunters, the Plains of Passage (Earth's Children, #1-4)",Jean M. Auel,"4.32 avg rating — 5,828 ratings"
"Hades (Halo, #2)",Alexandra Adornetto,"3.94 avg rating — 33,360 ratings"
"Body Double (Rizzoli & Isles, #4)",Tess Gerritsen,"4.19 avg rating — 61,090 ratings"
Leap of Faith (The Rufino Factor Book One),Joshua Rem,4.19 avg rating — 242 ratings
"Proud Pada (The Last Lumenian, #3)",S.G. Blaise,4.35 avg rating — 960 ratings
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley,"4.04 avg rating — 128,099 ratings"
The Girl Who Chased the Moon,Sarah Addison Allen,"3.97 avg rating — 62,772 ratings"
Supernatural Hero,Eran Gadot,4.41 avg rating — 205 ratings
Mud Vein,Tarryn Fisher,"4.09 avg rating — 25,922 ratings"
A Touch of Dead,Charlaine Harris,"3.85 avg rating — 49,748 ratings"
They Cage the Animals at Night: The True Story of an Abandoned Child's Struggle for Emotional Survival,Jennings Michael Burch,"4.35 avg rating — 10,080 ratings"
"MaddAddam (MaddAddam, #3)",Margaret Atwood,"4.02 avg rating — 80,351 ratings"
Cancer Ward,Aleksandr Solzhenitsyn,"4.26 avg rating — 17,406 ratings"
"Debt of Honor (Jack Ryan, #7)",Tom Clancy,"4.10 avg rating — 50,909 ratings"
Kokoro,Natsume Sōseki,"4.04 avg rating — 38,069 ratings"
"The Bird and the Sword (The Bird and the Sword Chronicles, #1)",Amy Harmon,"4.17 avg rating — 44,496 ratings"
"Tricks (Tricks, #1)",Ellen Hopkins,"4.27 avg rating — 40,644 ratings"
How Not to Murder Your Grumpy,Carol Wyer,4.07 avg rating — 101 ratings
"Throne of Novoxos (Van Laven Chronicles, #1)",Tyler Chase,"3.64 avg rating — 2,260 ratings"
A Day in the Life of Cowboy Mike and Winston,Michael Eastwood,4.92 avg rating — 90 ratings
The Member of the Wedding,Carson McCullers,"3.81 avg rating — 19,357 ratings"
To Dream the Blackbane,Richard J.   O'Brien,4.50 avg rating — 264 ratings
Never Go With Your Gut: How Pioneering Leaders Make the Best Decisions and Avoid Business Disasters,Gleb Tsipursky,4.14 avg rating — 249 ratings
Small Island,Andrea Levy,"4.01 avg rating — 36,825 ratings"
La Horde du Contrevent,Alain Damasio,"4.43 avg rating — 7,928 ratings"
Still Missing,Chevy Stevens,"really liked it 4.00 avg rating — 100,208 ratings"
"Boundless (Unearthly, #3)",Cynthia Hand,"4.12 avg rating — 47,198 ratings"
Diary of a Madman and Other Stories,Nikolai Gogol,"4.08 avg rating — 21,212 ratings"
Bottled Lightning,L.M. Weeks,4.06 avg rating — 693 ratings
Under the Bus,Kyle Keyes,4.18 avg rating — 323 ratings
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"4.57 avg rating — 4,014,616 ratings"
A Quick Bite (Argeneau #1),Lynsay Sands,"3.91 avg rating — 45,170 ratings"
"Ninth Key (The Mediator, #2)",Jenny Carroll,"4.06 avg rating — 41,219 ratings"
Alone With You in the Ether,Olivie Blake,"3.79 avg rating — 99,530 ratings"
The Tender Bar: A Memoir,J.R. Moehringer,"3.99 avg rating — 44,315 ratings"
"Sloppy Firsts (Jessica Darling, #1)",Megan McCafferty,"3.95 avg rating — 36,173 ratings"
Man-Made,Parsa Shekari,it was amazing 5.00 avg rating — 30 ratings
"Hallowed (Unearthly, #2)",Cynthia Hand,"4.09 avg rating — 75,720 ratings"
"The Last Star (The 5th Wave, #3)",Rick Yancey,"3.61 avg rating — 79,452 ratings"
"Turn Coat (The Dresden Files, #11)",Jim  Butcher,"4.44 avg rating — 109,324 ratings"
"The King (Black Dagger Brotherhood, #12)",J.R. Ward,"4.37 avg rating — 56,509 ratings"
"The Lost Prince (The Iron Fey: Call of the Forgotten, #1)",Julie Kagawa,"4.02 avg rating — 28,603 ratings"
"Defiance (Defiance, #1)",C.J. Redwine,"3.67 avg rating — 28,980 ratings"
"Winger (Winger, #1)",Andrew  Smith,"4.04 avg rating — 23,027 ratings"
"The Black Cauldron (The Chronicles of Prydain, #2)",Lloyd Alexander,"4.12 avg rating — 65,935 ratings"
"The Desert Spear (Demon Cycle, #2)",Peter V. Brett,"4.21 avg rating — 89,809 ratings"
How High We Go in the Dark,Sequoia Nagamatsu,"3.82 avg rating — 65,538 ratings"
Sole Survivor,Dean Koontz,"3.81 avg rating — 31,355 ratings"
"Providence (Providence, #1)",Jamie McGuire,"3.97 avg rating — 27,869 ratings"
"Happily Ever After (The Selection, #0.4, 0.5, 2.5, 2.6, 3.3)",Kiera Cass,"4.04 avg rating — 77,003 ratings"
Live Digital or Be Irrelevant: My Firsthand Narrative of Transformation to Becoming a Digital Citizen Ready for a Dynamic Future,A.K. Smith-Ford,4.34 avg rating — 191 ratings
"The Prince (The Selection, #0.5)",Kiera Cass,"3.89 avg rating — 86,183 ratings"
"Little Men (Little Women, #2)",Louisa May Alcott,"3.88 avg rating — 66,229 ratings"
Jinx,Meg Cabot,"3.72 avg rating — 27,328 ratings"
"Almost Heaven (Sequels, #3)",Judith McNaught,"4.33 avg rating — 29,194 ratings"
"The Eighth Sister (Charles Jenkins, #1)",Robert Dugoni,"4.21 avg rating — 39,712 ratings"
"Grave Sight (Harper Connelly, #1)",Charlaine Harris,"3.87 avg rating — 65,915 ratings"
"Vengeance in Death (In Death, #6)",J.D. Robb,"4.36 avg rating — 45,685 ratings"
Are We Smart Enough to Know How Smart Animals Are?,Frans de Waal,"3.97 avg rating — 16,006 ratings"
Secret Slave: Kidnapped and abused for 13 years. This is my story of survival.,Anna Ruston,"4.19 avg rating — 6,853 ratings"
Freedom: My Book of Firsts,Jaycee Dugard,"3.55 avg rating — 5,402 ratings"
"White Night (The Dresden Files, #9)",Jim  Butcher,"4.38 avg rating — 124,339 ratings"
The White Album,Joan Didion,"4.04 avg rating — 45,831 ratings"
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoğlu,"4.09 avg rating — 57,414 ratings"
"A Kiss of Shadows (Merry Gentry, #1)",Laurell K. Hamilton,"4.02 avg rating — 60,374 ratings"
"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,"4.01 avg rating — 27,080 ratings"
"In the Blood (Terminal List, #5)",Jack Carr,"4.50 avg rating — 23,743 ratings"
Phantoms,Dean Koontz,"3.95 avg rating — 77,871 ratings"
Invisible,Paul Auster,"3.74 avg rating — 22,604 ratings"
"Hawksong (The Kiesha'ra, #1)",Amelia Atwater-Rhodes,"4.17 avg rating — 22,896 ratings"
"Fire & Blood (A Targaryen History, #1)",George R.R. Martin,"4.05 avg rating — 134,317 ratings"
Madam Speaker: Nancy Pelosi and the Lessons of Power,Susan  Page,"4.14 avg rating — 1,805 ratings"
"Succubus Dreams (Georgina Kincaid, #3)",Richelle Mead,"4.12 avg rating — 29,478 ratings"
The Teachings of Don Juan: A Yaqui Way of Knowledge,Carlos Castaneda,"3.94 avg rating — 44,422 ratings"
"A Job From Hell (Ancient Legends, #1)",Jayde Scott,"3.57 avg rating — 8,322 ratings"
"Motorcycle Man (Dream Man, #4)",Kristen Ashley,"4.37 avg rating — 58,173 ratings"
Behavior Reports: A WWII Submarine Adventure Novel (USS Bull Shark Naval Thriller series Book 5),Scott Cook,"4.39 avg rating — 1,693 ratings"
"The Shadow of the Torturer (The Book of the New Sun, #1)",Gene Wolfe,"3.84 avg rating — 32,964 ratings"
Obsession,Jennifer L. Armentrout,"4.10 avg rating — 29,589 ratings"
"Mossflower (Redwall, #2)",Brian Jacques,"4.12 avg rating — 71,213 ratings"
"Let the Sky Fall (Sky Fall, #1)",Shannon Messenger,"3.95 avg rating — 16,028 ratings"
Save Yourself,Kelly Braffet,"3.48 avg rating — 3,909 ratings"
"Jesus Listens: Daily Devotional Prayers of Peace, Joy, and Hope (A 365-Day Prayer Book)",Sarah  Young,"4.64 avg rating — 1,353 ratings"
Fyodor Dostoyevsky's Crime and Punishment,John D. Simons,"4.51 avg rating — 2,820 ratings"
"Arrow of the Mist (Arrow of the Mist, #1)",Christina Mercer,3.96 avg rating — 384 ratings
The Greatest Show on Earth: The Evidence for Evolution,Richard Dawkins,"4.16 avg rating — 55,155 ratings"
Becoming Free Indeed: My Story of Disentangling Faith from Fear,Jinger Duggar Vuolo,"3.61 avg rating — 48,336 ratings"
The Surgeon,Leslie Wolfe,"3.86 avg rating — 55,704 ratings"
"Midnight (Warriors: The New Prophecy, #1)",Erin Hunter,"4.26 avg rating — 46,078 ratings"
"The Dark Divine (The Dark Divine, #1)",Bree Despain,"3.80 avg rating — 38,524 ratings"
"Love, Lex (The Undergrad Years, #1)",Avery Aster,"3.25 avg rating — 1,746 ratings"
"Second Grave on the Left (Charley Davidson, #2)",Darynda Jones,"4.24 avg rating — 53,865 ratings"
Super Ninja: The Sword of Heaven,William Kely McClung,"4.37 avg rating — 1,160 ratings"
"Bud, Not Buddy",Christopher Paul Curtis,"3.97 avg rating — 113,538 ratings"
On a Pale Horse (Incarnations of Immortality #1),Piers Anthony,"4.13 avg rating — 40,843 ratings"
"Black Butler, Vol. 1 (Black Butler, #1)",Yana Toboso,"4.35 avg rating — 139,319 ratings"
"Dawn (Xenogenesis, #1)",Octavia E. Butler,"4.15 avg rating — 58,987 ratings"
The Long Walk: The True Story of a Trek to Freedom,Slavomir Rawicz,"4.24 avg rating — 21,155 ratings"
"The Bands of Mourning (Mistborn, #6)",Brandon Sanderson,"4.41 avg rating — 167,939 ratings"
"Memory Man (Amos Decker, #1)",David Baldacci,"4.12 avg rating — 152,500 ratings"
Heal Your Body: The Mental Causes for Physical Illness and the Metaphysical Way to Overcome Them,Louise L. Hay,"4.33 avg rating — 20,532 ratings"
Obama: From Promise to Power,David Mendell,"4.17 avg rating — 2,665 ratings"
"Cause of Death (Kay Scarpetta, #7)",Patricia Cornwell,"3.95 avg rating — 53,837 ratings"
"Betrayals (Strange Angels, #2)",Lili St. Crow,"4.07 avg rating — 26,690 ratings"
One for the Murphys,Lynda Mullaly Hunt,"4.33 avg rating — 33,040 ratings"
Manacled,SenLinYu,"4.63 avg rating — 128,885 ratings"
Molloy / Malone Dies / The Unnamable,Samuel Beckett,"4.28 avg rating — 9,272 ratings"
One Plus One,Jojo Moyes,"3.97 avg rating — 186,343 ratings"
"The Midwife: A Memoir of Birth, Joy, and Hard Times",Jennifer Worth,"4.19 avg rating — 76,617 ratings"
"Final Offer (Dreamland Billionaires, #3)",Lauren Asher,"4.20 avg rating — 284,118 ratings"
"The Right Move (Windy City, #2)",Liz Tomforde,"4.40 avg rating — 336,498 ratings"
"Song of Susannah (The Dark Tower, #6)",Stephen        King,"really liked it 4.00 avg rating — 169,273 ratings"
"The Cellar (The Cellar, #1)",Natasha Preston,"3.90 avg rating — 88,881 ratings"
"The Ice Princess (Fjällbacka, #1)",Camilla Läckberg,"3.76 avg rating — 84,986 ratings"
The Importance of Being Earnest and Other Plays,Oscar Wilde,"4.23 avg rating — 51,481 ratings"
SPQR: A History of Ancient Rome,Mary Beard,"4.06 avg rating — 74,675 ratings"
Glucose Control Eating: Lose Weight Stay Slimmer Live Healthier Live Longer,Rick Mystrom,4.31 avg rating — 935 ratings
Pulp,Charles Bukowski,"3.67 avg rating — 42,372 ratings"
"Magician: Apprentice (The Riftwar Saga, #1)",Raymond E. Feist,"4.17 avg rating — 99,767 ratings"
The Anubis Gates,Tim Powers,"3.90 avg rating — 17,323 ratings"
Shakespeare: The World as Stage,Bill Bryson,"3.82 avg rating — 47,658 ratings"
The Girls I've Been,Tess Sharpe,"4.04 avg rating — 50,905 ratings"
"Secrets II (Secrets, #2)",Julie Mannino,3.94 avg rating — 128 ratings
A Supposedly Fun Thing I'll Never Do Again:  Essays and Arguments,David Foster Wallace,"4.14 avg rating — 51,980 ratings"
Those Who Save Us,Jenna Blum,"4.11 avg rating — 102,635 ratings"
The Windup Girl,Paolo Bacigalupi,"3.75 avg rating — 76,957 ratings"
Honor's Splendour,Julie Garwood,"4.23 avg rating — 34,076 ratings"
The Well House,M.S. Matassa,4.31 avg rating — 341 ratings
Skeleton Crew,Stephen        King,"3.97 avg rating — 132,852 ratings"
To Have and Have Not,Ernest Hemingway,"3.51 avg rating — 35,050 ratings"
"Forever in Blue: The Fourth Summer of the Sisterhood (Sisterhood, #4)",Ann Brashares,"3.82 avg rating — 76,951 ratings"
Innocent Traitor,Alison Weir,"3.97 avg rating — 34,503 ratings"
"The American Roommate Experiment (Love Deception, #2)",Elena  Armas,"3.80 avg rating — 251,679 ratings"
The Second Mrs. Astor,Shana Abe,"3.97 avg rating — 67,572 ratings"
"The Emotion Code: How to Release Your Trapped Emotions for Abundant Health, Love, and Happiness",Bradley  Nelson,"3.96 avg rating — 5,381 ratings"
Selected Stories of Anton Chekhov,Anton Chekhov,"4.37 avg rating — 31,573 ratings"
Glue,Irvine Welsh,"3.90 avg rating — 14,903 ratings"
"Peeps (Peeps, #1)",Scott Westerfeld,"3.78 avg rating — 25,427 ratings"
"Sideways Stories from Wayside School (Wayside School, #1)",Louis Sachar,"4.16 avg rating — 99,634 ratings"
"Infinite Days (Vampire Queen, #1)",Rebecca Maizel,"3.89 avg rating — 9,616 ratings"
Seven Years in Tibet,Heinrich Harrer,"4.10 avg rating — 25,678 ratings"
"Tales from a Not-So-Fabulous Life (Dork Diaries, #1)",Rachel Renée Russell,"4.11 avg rating — 111,893 ratings"
The Charterhouse of Parma,Stendhal,"3.79 avg rating — 19,274 ratings"
"Ceaseless (Existence, #3)",Abbi Glines,"4.16 avg rating — 33,382 ratings"
"The Sandman, Vol. 4: Season of Mists",Neil Gaiman,"4.53 avg rating — 79,833 ratings"
"Succubus Heat (Georgina Kincaid, #4)",Richelle Mead,"4.16 avg rating — 27,926 ratings"
The Mephisto Club,Tess Gerritsen,"4.03 avg rating — 49,287 ratings"
"Secrets (Secrets, #1)",Julie Mannino,3.96 avg rating — 165 ratings
Dempsey (Tier One #7),Brian  Andrews,"4.61 avg rating — 2,607 ratings"
Androne (Androne #1),Dwain Worrell,"3.91 avg rating — 3,403 ratings"
What I Wish I Said: Confessions of a Columnist,Jaime Watt,4.28 avg rating — 292 ratings
"The Keepsake (Rizzoli & Isles, #7)",Tess Gerritsen,"4.12 avg rating — 46,636 ratings"
Dinners with Ruth: A Memoir on the Power of Friendships,Nina Totenberg,"4.12 avg rating — 17,904 ratings"
"A Dangerous Path (Warriors, #5)",Erin Hunter,"4.45 avg rating — 53,857 ratings"
"Lord Edgware Dies (Hercule Poirot, #9)",Agatha Christie,"3.95 avg rating — 57,698 ratings"
The Zombie Survival Guide: Complete Protection from the Living Dead,Max Brooks,"3.86 avg rating — 104,853 ratings"
Antony and Cleopatra,William Shakespeare,"3.71 avg rating — 42,269 ratings"
"This Book Is Not Good for You (Secret, #3)",Pseudonymous Bosch,"4.28 avg rating — 23,127 ratings"
The Lost City of Z: A Tale of Deadly Obsession in the Amazon,David Grann,"3.90 avg rating — 104,916 ratings"
"Succubus Revealed (Georgina Kincaid, #6)",Richelle Mead,"4.27 avg rating — 22,549 ratings"
The Demolished Man,Alfred Bester,"3.97 avg rating — 33,234 ratings"
"The Keeper of Lost Causes (Department Q, #1)",Jussi Adler-Olsen,"really liked it 4.00 avg rating — 84,819 ratings"
Cosmicomics,Italo Calvino,"4.15 avg rating — 20,166 ratings"
War with the Newts,Karel Čapek,"4.17 avg rating — 16,411 ratings"
"Dear Ijeawele, or A Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,"4.51 avg rating — 86,069 ratings"
Normal People,Sally Rooney,"3.81 avg rating — 1,697,505 ratings"
Everybody Knows,Jordan Harper,"3.72 avg rating — 10,861 ratings"
The Soft Machine (The Nova Trilogy #1),William S. Burroughs,"3.44 avg rating — 6,921 ratings"
The Pit and the Pendulum,Edgar Allan Poe,"4.15 avg rating — 70,809 ratings"
"The Redemption of Callie & Kayden (The Coincidence, #2)",Jessica Sorensen,"4.08 avg rating — 59,635 ratings"
"The Empire of Gold (The Daevabad Trilogy, #3)",S.A. Chakraborty,"4.49 avg rating — 67,534 ratings"
The Symposium,Plato,"4.09 avg rating — 84,038 ratings"
"Fury (New Species, #1)",Laurann Dohner,"4.08 avg rating — 34,257 ratings"
"Disney After Dark (Kingdom Keepers, #1)",Ridley Pearson,"3.90 avg rating — 30,700 ratings"
Sister Outsider: Essays and Speeches,Audre Lorde,"4.53 avg rating — 39,111 ratings"
"Memories, Dreams, Reflections",C.G. Jung,"4.17 avg rating — 36,739 ratings"
The Catastrophic History of You and Me,Jess Rothenberg,"4.03 avg rating — 16,507 ratings"
The Darkest Part of the Forest,Holly Black,"3.86 avg rating — 84,753 ratings"
The View from Saturday,E.L. Konigsburg,"3.76 avg rating — 46,333 ratings"
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,"4.01 avg rating — 218,209 ratings"
"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,"3.99 avg rating — 300,223 ratings"
"The Snowy Day (Peter, #1)",Ezra Jack Keats,"4.20 avg rating — 118,093 ratings"
Zodiac,Robert Graysmith,"3.92 avg rating — 26,536 ratings"
Monday's Not Coming,Tiffany D. Jackson,"4.25 avg rating — 69,088 ratings"
Murder At The Fort: A Double Homicide Cold Case And Cover Up!,Bob Marmion,4.38 avg rating — 364 ratings
"Everlasting (The Immortals, #6)",Alyson Noel,"3.90 avg rating — 49,045 ratings"
"Forever, Christian",Tina Traverse,4.47 avg rating — 66 ratings
"You Really Are Full of Shit, Aren't You?",Karl Wiggins,4.16 avg rating — 195 ratings
Loki's Price,Julie Mannino,4.32 avg rating — 78 ratings
The House of the Seven Gables,Nathaniel Hawthorne,"3.45 avg rating — 41,763 ratings"
"Checkmate (The Lymond Chronicles, #6)",Dorothy Dunnett,"4.70 avg rating — 3,711 ratings"
An Unquiet Mind: A Memoir of Moods and Madness,Kay Redfield Jamison,"4.06 avg rating — 83,231 ratings"
"The Twelve (The Passage, #2)",Justin Cronin,"4.03 avg rating — 104,128 ratings"
The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,"4.51 avg rating — 26,144 ratings"
"Lila: An Inquiry Into Morals (Phaedrus, #2)",Robert M. Pirsig,"3.84 avg rating — 7,304 ratings"
Heretics of Dune (Dune #5),Frank Herbert,"3.86 avg rating — 95,618 ratings"
"Ice Station (Shane Schofield, #1)",Matthew Reilly,"4.12 avg rating — 34,148 ratings"
Calico Jack in your Garden,Karl Wiggins,4.23 avg rating — 216 ratings
A Little Life,Hanya Yanagihara,"4.30 avg rating — 824,997 ratings"
A Castle of Doomsday,Michael G. Kramer,"4.27 avg rating — 3,099 ratings"
In Plain Sight: A True Story of Kidnapping and Rape,Anna D. Stoddard,"4.26 avg rating — 2,380 ratings"
The Horror at Murden Cove (A Thomas Austin Crime Thriller #4),D.D. Black,"4.38 avg rating — 5,186 ratings"
"The Affair (Jack Reacher, #16)",Lee Child,"4.16 avg rating — 106,157 ratings"
"The Warden and the Wolf King (The Wingfeather Saga, #4)",Andrew       Peterson,"4.74 avg rating — 16,020 ratings"
"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",Fyodor Dostoevsky,"4.19 avg rating — 77,785 ratings"
Ramonst,A.F. Knott,4.45 avg rating — 262 ratings
"A Merciful Truth (Mercy Kilpatrick, #2)",Kendra Elliot,"4.28 avg rating — 31,270 ratings"
"Saving 6 (Boys of Tommen, #3)",Chloe Walsh,"4.47 avg rating — 159,621 ratings"
Don't Let's Go to the Dogs Tonight: An African Childhood,Alexandra Fuller,"3.97 avg rating — 56,312 ratings"
Before We Were Strangers,Renee Carlino,"4.05 avg rating — 144,949 ratings"
Chinese Cinderella: The True Story of an Unwanted Daughter,Adeline Yen Mah,"4.08 avg rating — 40,437 ratings"
Going After Cacciato,Tim O'Brien,"3.91 avg rating — 14,319 ratings"
"Page (Protector of the Small, #2)",Tamora Pierce,"4.26 avg rating — 51,180 ratings"
Life Expectancy,Dean Koontz,"4.02 avg rating — 39,101 ratings"
The Information,Martin Amis,"3.61 avg rating — 6,408 ratings"
"Midnight Sacrifice (Midnight, #2)",Melinda Leigh,"4.24 avg rating — 20,193 ratings"
"Concrete Rose (The Hate U Give, #0)",Angie Thomas,"4.38 avg rating — 64,386 ratings"
Belichick: The Making of the Greatest Football Coach of All Time,Ian O'Connor,"4.09 avg rating — 1,694 ratings"
"Halt's Peril (Ranger's Apprentice, #9)",John Flanagan,"4.39 avg rating — 62,205 ratings"
"The Age of Reason (Roads to Freedom, #1)",Jean-Paul Sartre,"3.99 avg rating — 15,552 ratings"
Hoot,Carl Hiaasen,"3.84 avg rating — 109,047 ratings"
"Dance of Death (Pendergast, #6; Diogenes, #2)",Douglas Preston,"4.20 avg rating — 34,629 ratings"
"The Haunted (The Hollow, #2)",Jessica Verday,"4.14 avg rating — 15,327 ratings"
Consider the Lobster and Other Essays,David Foster Wallace,"4.18 avg rating — 52,443 ratings"
Seriously... I'm Kidding,Ellen DeGeneres,"3.67 avg rating — 110,112 ratings"
The Vegetarian,Han Kang,"3.64 avg rating — 286,452 ratings"
Front Desk (Front Desk #1),Kelly Yang,"4.37 avg rating — 42,727 ratings"
Neighborhood Lines,Michael Patrick Murphy,4.39 avg rating — 227 ratings
"Mio, My Son",Astrid Lindgren,"4.10 avg rating — 14,969 ratings"
Suicide Notes,Michael Thomas Ford,"3.80 avg rating — 52,096 ratings"
Annie on My Mind,Nancy Garden,"4.02 avg rating — 54,531 ratings"
A List of Cages,Robin Roe,"4.25 avg rating — 26,816 ratings"
"The Girl in the Spider's Web (Millennium, #4)",David Lagercrantz,"3.80 avg rating — 165,452 ratings"
The Library Book,Susan Orlean,"3.89 avg rating — 120,033 ratings"
"Paper Princess (The Royals, #1)",Erin Watt,"3.92 avg rating — 163,529 ratings"
"The High King (The Chronicles of Prydain, #5)",Lloyd Alexander,"4.24 avg rating — 55,696 ratings"
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,"4.47 avg rating — 342,635 ratings"
"Fade (Wake, #2)",Lisa McMann,"3.92 avg rating — 53,058 ratings"
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,"3.95 avg rating — 122,786 ratings"
"Assistant to the Villain (Assistant to the Villain, #1)",Hannah Nicole Maehrer,"3.92 avg rating — 250,399 ratings"
Nostromo,Joseph Conrad,"3.81 avg rating — 17,482 ratings"
The Beginning of Everything,Robyn Schneider,"3.72 avg rating — 60,279 ratings"
Season of Migration to the North,Tayeb Salih,"3.72 avg rating — 31,699 ratings"
"Crier's War (Crier's War, #1)",Nina Varela,"4.11 avg rating — 49,746 ratings"
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 6,Mò Xiāng Tóng Xiù,"4.80 avg rating — 15,678 ratings"
Laskar Pelangi,Andrea Hirata,"4.25 avg rating — 31,515 ratings"
"To the Nines (Stephanie Plum, #9)",Janet Evanovich,"4.16 avg rating — 124,220 ratings"
"Deadly Decisions (Temperance Brennan, #3)",Kathy Reichs,"3.94 avg rating — 38,380 ratings"
Spinning Silver,Naomi Novik,"4.19 avg rating — 143,046 ratings"
The League: How Five Rivals Created the NFL and Launched a Sports Empire,John Eisenberg,"4.16 avg rating — 1,526 ratings"
Smoke Gets in Your Eyes & Other Lessons from the Crematory,Caitlin Doughty,"4.22 avg rating — 102,657 ratings"
Apology,Plato,"4.19 avg rating — 62,426 ratings"
"The Darkest Temptation (Made, #3)",Danielle Lori,"4.04 avg rating — 148,223 ratings"
"And the Band Played On: Politics, People, and the AIDS Epidemic",Randy Shilts,"4.39 avg rating — 28,615 ratings"
"Frostbitten (Women of the Otherworld, #10)",Kelley Armstrong,"4.27 avg rating — 25,610 ratings"
"Until I Die (Revenants, #2)",Amy Plum,"4.16 avg rating — 29,001 ratings"
A Book of Five Rings: The Classic Guide to Strategy,Miyamoto Musashi,"3.96 avg rating — 58,196 ratings"
Moxie,Jennifer Mathieu,"4.19 avg rating — 34,610 ratings"
"Mythos: The Greek Myths Retold (Stephen Fry's Great Mythology, #1)",Stephen Fry,"4.26 avg rating — 147,829 ratings"
Frenchman's Creek,Daphne du Maurier,"3.99 avg rating — 22,606 ratings"
Too Loud a Solitude,Bohumil Hrabal,"3.98 avg rating — 24,833 ratings"
"The Chocolate War (Chocolate War, #1)",Robert Cormier,"3.49 avg rating — 46,260 ratings"
Lucky Jim,Kingsley Amis,"3.75 avg rating — 31,197 ratings"
"Bleach, Vol. 1",Tite Kubo,"4.26 avg rating — 189,594 ratings"
"Dead Reckoning (Sookie Stackhouse, #11)",Charlaine Harris,"3.82 avg rating — 131,553 ratings"
Fear and Loathing: On the Campaign Trail '72,Hunter S. Thompson,"4.13 avg rating — 23,899 ratings"
"The Tyrant’s Tomb (The Trials of Apollo, #4)",Rick Riordan,"4.31 avg rating — 88,027 ratings"
The Bronze Bow,Elizabeth George Speare,"4.02 avg rating — 26,960 ratings"
The Informers,Bret Easton Ellis,"3.40 avg rating — 19,617 ratings"
"Mrs. McGinty's Dead (Hercule Poirot, #32)",Agatha Christie,"3.86 avg rating — 37,115 ratings"
A Countess Below Stairs,Eva Ibbotson,"3.91 avg rating — 21,414 ratings"
The Giver of Stars,Jojo Moyes,"4.29 avg rating — 475,516 ratings"
The Sociopath Next Door,Martha Stout,"3.77 avg rating — 37,905 ratings"
"Touch the Dark (Cassandra Palmer, #1)",Karen Chance,"3.72 avg rating — 36,673 ratings"
"Iron Crowned (Dark Swan, #3)",Richelle Mead,"4.06 avg rating — 18,621 ratings"
The Twelve Caesars,Suetonius,"4.02 avg rating — 21,842 ratings"
Saving Francesca,Melina Marchetta,"3.99 avg rating — 33,234 ratings"
An Anonymous Girl,Greer Hendricks,"3.80 avg rating — 176,236 ratings"
Amazonia,James Rollins,"4.15 avg rating — 34,670 ratings"
The Cement Garden,Ian McEwan,"3.54 avg rating — 34,076 ratings"
"Us Against You (Beartown, #2)",Fredrik Backman,"4.37 avg rating — 230,537 ratings"
"Summer of My German Soldier (Summer of My German Soldier, #1)",Bette Greene,"3.70 avg rating — 17,627 ratings"
"Inkheart / Inkspell / Inkdeath (The Inkheart Trilogy, #1-3)",Cornelia Funke,"4.21 avg rating — 19,584 ratings"
Girl in Translation,Jean Kwok,"3.99 avg rating — 57,870 ratings"
"My Lady Jane (The Lady Janies, #1)",Cynthia Hand,"really liked it 4.00 avg rating — 76,580 ratings"
